ATSC5d,ATSC4i,SlogP_VSA1,GATS2v,VSA_EState6,ATSC5p,ATSC3v,AATSC0are,ATSC5v,FilterItLogS,PEOE_VSA9.1,ATSC4p,ATSC6Z,PEOE_VSA10.1,TpiPC10,HallKierAlpha,ATSC4dv,ATSC3Z,SLogP,ATSC7v,ATSC6are,GATS2p,ATSC4pe,GATS2i,ATSC3d,GATS2pe,IC2,VSA_EState8,MinEStateIndex,ATSC3are,MaxEStateIndex,ATSC2dv,ATSC8Z,SssCH2,ATSC4v,MATS1i,VSA_EState3,MATS2p,PEOE_VSA1.1,SMR_VSA1.1,JGI4,ATSC0pe,MinAbsEStateIndex,ATSC1d,ATSC7pe,qed,ATSC5dv,SMR_VSA1,ATSC6p,SdssC,VSA_EState3.1,MATS2Z,GATS2m,AATS2i,AATSC0Z,MATS2i,ATSC3i,VSA_EState6.1,ATSC7Z,ATSC7d,Target
-0.509695291,-0.609264117,5.316788604,1.168577716,-0.874228395,-1.112711018,-108.1458274,0.215998338,-199.91142,-0.195899097,1.370758556,-0.618732183,-142.7229917,7.141691641,4.317488114,-0.71,-35.90571458,-64.86980609,-0.4945,286.545644,-1.667714127,1.186492204,-1.626044044,1.4435341,-2.775623269,0.467171399,3.892407119,1.263271605,-3.507291667,-1.617603324,11.34397062,14.67104408,0,0.106064815,6.504824557,-0.161558991,10.57263889,-0.213171421,10.41862154,24.33427597,0.053333333,3.719715789,0.451794218,1.822714681,0.743868698,0.491542713,-0.082350125,14.69560176,-0.542297902,-1.424398148,2.639158636,-0.063723991,0.915165372,158.8981951,15.61772853,-0.320033788,7.876056631,-3.507291667,74.60941828,1.063711911,0
9.5,-39.32702842,0,0.990044327,11.57195017,-3.550456613,628.8412393,0.066869745,-930.3211936,-5.000681813,13.63954181,-5.783801745,242.5078044,5.835619786,7.838096834,-1.68,-13.24453694,9.224765869,4.2464,-1218.404095,0.802783819,1.024318048,0.193750312,1.192599449,-10,0.882344881,4.165585778,12.89768899,-5.750638464,-1.299100208,15.13108324,59.21956296,-494.516129,6.191208244,-1089.706943,-0.226493776,0,0.049463306,4.899909731,52.77108665,0.031452991,4.222285484,1.057904384,21.5,-1.251565375,0.752084781,33.41935484,4.794537184,7.282018886,0.960781158,0,0.123560514,0.937403934,156.9338974,6.707596254,-0.005340862,36.35153763,-25.12172306,-143.1581686,-31.75,0
-9.333333333,9.126227829,11.29293437,0.805250588,0,-1.567539819,-72.11118965,0.199024691,-423.1595404,-1.125608751,27.64589354,0.182093607,-79.30178326,8.053678582,8.019321068,-1.93,19.69958848,-3.903978052,-1.3318,150.5592384,-0.293179012,0.808773658,1.792340329,0.861564758,1.444444444,0.990369588,4.310443058,0.29968254,-3.536306571,-0.546206173,12.07767464,8.569272977,-83.90809328,0.29968254,135.2505731,-0.577374237,8.555883356,0.19523388,15.56538812,23.67650727,0.048918129,4.864562963,0.015253026,6.444444444,0.313802195,0.554385972,-73.09053498,9.843390349,-1.196317933,0,3.563740672,0.003293032,0.870289019,168.786363,8.159122085,0.283434691,-16.55541891,0,30.07133059,-3.888888889,0
-5.618213157,4.686387884,4.736862954,0.932925847,18.35916441,0.45438826,-1385.045388,0.085182419,111.5940715,-6.705777882,29.05050662,1.125593831,-21.7075553,5.749511833,9.550272576,-2.81,20.99683999,-136.0904912,6.6814,-145.3724566,0.03323183,0.932924745,0.621401724,0.927224526,-9.787991956,0.697441972,3.968525202,0,-4.614573505,-0.256004022,12.31214312,17.56506751,-23.92387245,8.246311537,434.1681102,0.083232947,11.28287831,0.084523334,9.845671145,51.65068935,0.036622222,4.944657627,0.877676551,13.70267165,-1.82062505,0.519704129,-7.068083884,14.63792753,-2.963827085,-0.887642985,2.007554107,0.030082231,0.878362146,145.5523242,6.909508762,0.093813305,-36.66851706,-12.11828187,-95.14277506,-2.709566217,0
-3.444444444,-5.435897297,5.733667477,0.902117221,0,-2.276806843,-331.284738,0.221163222,-433.2685261,-0.502042912,21.08690829,-2.237075571,21.8,20.86166319,7.837127264,-1.54,-16.9399177,-101.5333333,-0.4397,501.8847118,0.075808333,1.364919838,0.426866667,1.086840141,-0.666666667,0.845024047,4.506890596,0.507371977,-5.361425784,-0.507046667,11.94985519,30.94864198,40.80444444,-0.093071775,-198.4081605,-0.502341361,0,-0.176866301,24.81506438,32.88304864,0.038859649,5.898416667,0.091649763,3.444444444,0.212230556,0.492266381,-82.59017833,19.08873444,1.964161904,0,0,-0.149452547,1.133017371,166.1344947,11.79555556,0.08301977,-0.334874081,0,115.5822222,0.888888889,0
-3.326530612,-25.58117685,10.05365156,0.890273454,12.2565572,-2.118252852,-9.548662473,0.104914776,-247.6044754,-4.495984527,19.37477946,-4.148565323,31.57142857,5.749511833,8.237187311,-2.03,-38.20408163,-81.3877551,2.527,-644.0703126,-0.128362857,0.899789372,-0.648305551,0.934025831,-3.408163265,0.938865498,4.24301016,2.192247076,-3.864572114,-1.818316245,12.01631228,-9.734693878,21.06122449,1.481888936,-938.2676858,-0.051514035,5.190568862,0.112409495,10.04667631,32.87537911,0.041269841,3.519874286,0.784957995,7.897959184,-0.390221714,0.895737131,9.204081633,9.531400138,0.14303938,0.007238179,-2.54160978,0.048583524,0.897084374,153.2190231,7.175510204,0.134306625,17.51518755,-6.350305786,-79,-4.857142857,0
-18.4288,-42.45341861,4.899909731,0.939061965,9.702675921,-3.543079448,-79.32869198,0.09110976,-1141.311993,-1.647704696,21.69322039,-8.045483647,20.3936,6.20395281,8.725745811,-1.1,-105.4256,21.7088,1.5545,419.0550328,0.94653616,0.962188815,-1.08686336,1.116483377,-19.0672,0.900786575,4.71326969,2.191436182,-4.851479946,0.06921728,10.03864288,38.304,50.8576,3.151758393,-1761.174183,-0.054626416,22.63210821,0.113942222,15.11752611,43.11582173,0.053888889,4.445488,0.414752811,25.112,-0.71736272,0.822090173,-85.5248,10.21305479,-0.943268131,0,9.022924566,0.067655676,0.915575929,151.7987521,7.0496,0.086719055,-5.90560197,-18.7353228,11.1088,3.4528,0
-5.619834711,2.64498433,5.316788604,0.903412439,6.002804469,-1.736262388,41.13391039,0.130497153,-189.8014123,-3.894577031,26.29590523,-1.893961492,-12.28099174,0,8.156020424,-1.69,6.219569432,-67.29935721,3.2433,-76.21819736,-0.820615978,0.981359118,0.850220753,0.890058908,0.750229568,0.59359334,4.430313437,2.152889589,-3.440402358,-0.585160239,11.82395888,70.24977043,-9.461891644,2.229898617,-284.2552434,-0.158051567,2.509029825,0.114011714,9.713866224,30.17494552,0.030666667,4.02529697,0.14511849,7.730945822,-0.571734435,0.832712414,-13.75114784,9.531400138,-1.660773084,-0.532742984,-0.234905841,0.058997699,0.98852618,157.3182838,11.63820018,0.209902713,-11.93912533,-2.458236384,-9.73553719,-8.741046832,0
-12.66,21.35905092,9.799819462,0.890981282,20.26241491,-5.841990622,-364.2956967,0.06650416,-1326.418822,-7.683782844,114.0600002,0.025816685,24.2356,25.02950431,10.16377755,-3.68,-15.9472,-26.7552,5.4756,-233.1366371,-0.45504864,0.883384255,-0.12353552,1.068872871,-4.72,1.198853103,4.96385619,14.98468279,-5.581417247,-0.51299712,11.66410293,34.9632,-68.9168,10.99809661,-83.11883809,-0.13265664,20.91124479,0.11834439,28.98349756,84.98008879,0.036588419,6.776224,0.720552687,45.7,-0.36101312,0.317226051,-41.6384,19.17911651,2.505597187,5.93656349,8.19316379,0.023542224,0.970290855,151.1646582,6.7636,0.101192551,-35.7077959,-47.62556067,-95.3468,-23.03,0
-2.913580247,-5.156127189,5.733667477,1.235047385,0,-0.648607566,-184.4854035,0.318288889,-188.0089023,2.048894017,0,-3.23611954,-106.4513032,2.823684157,4.890349128,0.22,8.264627682,54.63374486,-1.2732,99.33362595,0.580044444,1.34073901,1.033044719,1.566666667,-13.96296296,0.475826691,3.569702317,-0.039375,-6.146741938,1.1429,12.55867347,113.9993734,116.4224966,-0.895748457,-630.359015,0.121681432,5.913557099,0.044850225,30.41129476,44.86990985,0.029473684,7.55862963,0.984522077,6.802469136,-3.126161866,0.328290335,-99.73782791,33.81027038,-1.147627353,0,-0.883639613,0.144792166,0.911879258,157.5242823,17.70644719,-0.065454987,-16.73380151,0,-33.62688615,5.135802469,0
